n_components,scaling_method,var_explained
2,stand,0.5130258857316644
2,minmax,0.4899318599820992
3,stand,0.6053284009990767
3,minmax,0.6025500220917029
4,stand,0.6907982467953587
4,minmax,0.6933006485623973
5,stand,0.7434918268393038
5,minmax,0.7624970440279912
6,stand,0.7855903000115375
6,minmax,0.8117930778223683
7,stand,0.818319980241977
7,minmax,0.8573879199286835
8,stand,0.8475764575377736
8,minmax,0.8901731555932646
9,stand,0.8746406343898534
9,minmax,0.921344904646399
10,stand,0.8986490082513391
10,minmax,0.9500339046891082
