design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
1ZI8A_decoy8_9,1ZI8A_decoy8_9.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-7.613400319716637,5.600000000000004,25116.042279999998,233,58.29842342342342,-2946.9009628695608,329.08098659509767,-2160.8891367416286,-1115.0928127230309,-397.99,-79.11999999999999,518.25,-837.12,0,-391.7,5198.229089799521,-1347.775176671979,2061.907129794004,4.838553598645927,-208.6111474852395,852.5959626296387,-13.77390565425394,49.41939533806228,-46.18416526098998,-75.66744514506816,-5.65652410213077,-3.272708214393139,0,142.2892245418535,2.116110663305423,707.6524309960172,636.7239107485674,2349.332254023482,0,-95.5997,-0.4103,-3.1848,1.8818
1ZI8A_decoy2_70,1ZI8A_decoy2_70.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-14.759738640375243,5.600000000000004,25116.042279999998,233,59.288288288288285,-3135.169177552051,254.08297971076183,-2225.658654769844,-1163.5935024929668,-586.57,-79.11999999999999,519.3399999999999,-1026.7600000000004,0,-409.5,6078.673504640979,-1379.143858551819,1655.42579542313,5.713873622019451,-227.8235958218187,810.573141993328,-20.92907783929579,45.28194615804864,-45.94841246125414,-72.19309539047937,-3.785446325373094,-4.936714825473306,0,138.2812103516715,1.184056173257065,1076.774343090364,470.0340610304368,3537.870088014238,0,-136.0581,-0.5839,-3.3561,1.3777
1ZI8A_decoy9_9,1ZI8A_decoy9_9.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-6.144197783869535,5.600000000000004,25116.042279999998,233,58.515765765765764,-2984.2500721856723,320.8686410820327,-2201.541817846595,-1103.5768954211576,-428.47,-79.11999999999999,525.38,-874.7199999999999,0,-402.4,5879.767423960507,-1329.183166071617,2186.218063112054,8.128206884037805,-217.4059387118486,805.5277986011712,-16.88655874772025,47.15845789341363,-47.42409676015737,-79.96146406822392,-2.648461585029515,-2.300541435153773,0,202.7179544226894,17.9629049079249,910.7706485219068,549.6421816161853,2755.156245380874,0,-87.4543,-0.3753,-3.5609,2.2676
1ZI8A_decoy2_5,1ZI8A_decoy2_5.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-17.484400215169455,5.600000000000004,25116.042279999998,233,57.5213963963964,-3037.039370421426,262.3970818724921,-2154.4390348292895,-1144.9974174645974,-559.53,-79.11999999999999,511.37,-991.7800000000001,0,-405.2,5606.038799194437,-1296.433173785211,1574.085785820091,5.937359039330106,-201.6009022722118,774.8253875625264,-18.74896102594114,46.69325370614529,-45.04339260661941,-75.33938886239484,-0.9286612329364371,-1.302267414985138,0,99.36167907866782,-3.571675925227826,835.3869139419534,689.8381995041668,3130.583453667085,0,-160.50490000000002,-0.6889,-4.2506,1.3114
1ZI8A_decoy29_24,1ZI8A_decoy29_24.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-4.395493570311212,5.600000000000004,25116.042279999998,233,55.171171171171174,-2866.3389999644296,260.07654968879825,-2022.7950216700242,-1103.6205279832125,-263.34,-79.11999999999999,555.57,-739.7900000000001,0,-356.4,6132.12390342275,-1217.996348093902,1895.494339844239,4.295446886554583,-175.7414649580639,775.0503339584837,-17.69139967563084,42.83716505833836,-41.42991113394464,-59.08387608854542,-4.564956588579876,-1.738566372732143,0,168.6935278117113,3.914632456920356,1028.266270727869,607.9658456763699,3031.557673913662,0,-55.6237,-0.2387,-3.9153,2.3995
1ZIX_native,1ZIX_native.pdb,,0.14163090128755365,0.004291845493562232,0.05150214592274678,0.05150214592274678,0.04291845493562232,0.09871244635193133,0.034334763948497854,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.03862660944206009,0.055793991416309016,0.030042918454935622,0.0815450643776824,0.012875536480686695,0,0.05150214592274678,-22.016428997050248,5.300000000000004,25141.00538,233,58.62429696287964,-3443.9152559872578,121.51394445742987,-2231.352554548754,-1334.0766458959413,-1214.81,-77.22,452.65,-1590.2099999999998,0,-430.8,-353.4823341329208,-1373.427891059647,214.6713598826831,2.377888605114656,-314.429660278015,774.0598049324439,-34.31241709238934,46.31355738475227,-47.05970740494446,-89.52915195139094,-33.31923065822126,-13.85325667546516,0,6.911132399688754,-30.50820445841537,391.1640820605215,14.01599713073848,45.08947304962473,0,-177.11540000000002,-0.7602,-4.3046,0.3334
1ZI8A_decoy1_41,1ZI8A_decoy1_41.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-18.156830747845348,5.600000000000004,25116.042279999998,233,58.854729729729726,-3253.8296508805533,206.00451326496406,-2234.578985064779,-1225.2551790807584,-741.26,-79.11999999999999,487.78000000000003,-1149.93,0,-426.4,3387.857315525934,-1372.997201251005,1335.866603312052,5.516061451191097,-236.2206273237789,777.6013621152014,-21.85583887827937,43.80381704009266,-47.84848726189483,-84.84891669231786,-3.19389177428195,-2.015408019621093,0,101.4935548381034,1.341577361998459,633.7520844040916,455.6863143040271,1709.481121900354,0,-169.7037,-0.7283,-3.6744,0.8501
1ZI8A_decoy1_11,1ZI8A_decoy1_11.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-19.907795867925174,5.600000000000004,25116.042279999998,233,60.527027027027025,-3347.5032735283485,231.21005122063312,-2299.0100330942114,-1279.7032916547437,-717.72,-79.11999999999999,479.15999999999997,-1117.76,0,-430.7,3967.940215550907,-1427.077213278762,1680.705729926924,6.663092966820291,-254.7535210341603,814.7510117113569,-18.7949412912009,47.46933531325513,-46.45258048555527,-84.26670259885884,-6.179018104388915,-3.702819922528082,0,81.76967561822737,-0.8684282717834374,582.7197695881713,388.236594522439,2115.425040890952,0,-163.75300000000001,-0.7028,-4.4676,0.5322
1ZI8A_decoy21_29,1ZI8A_decoy21_29.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-10.72021587190685,5.600000000000004,25116.042279999998,233,56.935810810810814,-2988.5467358270716,288.5264825601483,-2114.930505033752,-1162.1427133534808,-414.92,-79.11999999999999,488.36,-824.15,0,-385.1,5127.755578083513,-1289.830858091346,2121.250525978534,5.801105985958507,-209.6772197945517,787.4064154508123,-14.55297337917786,49.72602331154991,-48.70593924990091,-73.705597924134,-6.193994927634279,-4.964530050085942,0,108.3728706817208,-6.404891397490606,691.2416079113141,512.9833971859169,2412.714446392027,0,-116.3638,-0.4994,-3.1672,1.5318
1ZI8A_decoy2_18,1ZI8A_decoy2_18.pdb,,0.13304721030042918,0.004291845493562232,0.04721030042918455,0.05150214592274678,0.04291845493562232,0.1072961373390558,0.030042918454935622,0.030042918454935622,0.030042918454935622,0.09012875536480687,0.017167381974248927,0.02145922746781116,0.055793991416309016,0.060085836909871244,0.04291845493562232,0.055793991416309016,0.030042918454935622,0.08583690987124463,0.012875536480686695,0,0.05150214592274678,-12.93118235102651,5.600000000000004,25116.042279999998,233,59.3018018018018,-3141.924751650158,307.7094741766648,-2249.3870566659284,-1200.2471691609135,-505.36,-79.11999999999999,500.09,-926.3099999999998,0,-414.3,6345.347237038001,-1381.767374461164,2320.183152958034,6.037293819400571,-223.192977056736,795.6559465198123,-19.40296697535376,49.53462034147902,-43.03471996811839,-88.2746800593064,-2.582202569907174,-3.200633109413075,0,105.1265528837033,-7.264405241919911,1147.800201953105,484.2187123860882,3113.215525618297,0,-144.73109999999997,-0.6212,-3.4737,1.7626
