design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
1ZI8A_decoy21_24,1ZI8A_decoy21_24.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-4.99025602308096,5.6,25116.04228,233,56.7635135135135,-2976.52252178164,273.989864359938,-2111.78449002711,-1138.72789611447,-435.3,-79.12,533.35,-889.51,0,-387.2,6366.79142668406,-1286.32784361869,1723.20535206015,5.61480629398727,-204.357403433748,787.760006092327,-16.9360925698665,47.6915794484807,-50.1767986057093,-76.6978878623134,-4.11440430705334,-4.01142204097472,0,140.293536028655,12.8621292463278,1095.3586097234,500.25660944294,3604.07546078615,0,-109.4917,-0.4699,-3.3526,1.5807
1ZI8A_decoy2_77,1ZI8A_decoy2_77.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-12.4900697961043,5.6,25116.04228,233,58.4943693693694,-3150.44479175951,269.721217255714,-2204.02792583,-1216.13808318521,-572.7,-79.12,532.09,-1025.64,0,-402.3,6691.07293046458,-1356.94133602738,1854.44802717868,8.31051261308578,-250.865606848914,807.651197957165,-15.6752428195175,44.2169615863857,-55.0024998529884,-80.8292827819355,-3.71346161629411,-2.01116805963269,0,165.332495146553,10.6937289499562,1265.82773405929,453.089213774467,3754.24646720566,0,-145.0907,-0.6227,-3.3549,1.6105
1ZI8A_decoy31_16,1ZI8A_decoy31_16.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-5.37581251639607,5.6,25116.04228,233,55.115990990991,-2902.63293286543,190.877539569713,-2059.54734846411,-1033.96312397101,-334.83,-79.12,548.52,-804.21,0,-357,5387.26363046666,-1228.53607647563,1543.85717610724,8.68366578275256,-150.729200984434,751.598973104462,-21.9701517614547,48.8499904632008,-30.5383697726328,-59.3719899542871,-3.26205368475816,-3.91301686089663,0,172.54067952882,25.806336166439,858.150676053167,776.360720608338,2607.44108214634,0,-96.8992,-0.4159,-4.1822,2.3452
1ZI8A_decoy20_17,1ZI8A_decoy20_17.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-14.929181186973,5.6,25116.04228,233,58.731981981982,-3001.12772572834,339.280257875205,-2185.05154833202,-1155.35643527154,-323,-79.12,573.81,-817.69,0,-396.8,6816.43932557152,-1359.83225489931,2598.05191507604,5.77295649821327,-248.851179700839,831.803316618367,-9.88762161023916,47.6173234957335,-58.5382483965509,-69.3993763291374,-3.13524136460286,-6.71078173774612,0,283.795769025975,29.4643859881107,943.378351656275,696.754909370206,3043.85991188102,0,-105.1593,-0.4513,-4.4566,2.0865
1ZI8A_decoy31_32,1ZI8A_decoy31_32.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-2.25941985242383,5.6,25116.04228,233,53.6666666666667,-2725.16173552029,296.409370951228,-1943.5919150048,-1077.97919146674,-228.59,-79.12,568.92,-718.37,0,-335.2,7606.45877192683,-1193.46537087305,1277.23727228823,7.56081828744206,-143.278015002588,787.651663528527,-15.8319309566574,43.8130807775125,-28.8907993420406,-66.3076325156183,-2.67171557037676,-2.05667974590416,0,190.512701067896,11.8490172456211,1185.16577018471,641.927392952332,4820.94800960079,0,-61.5388,-0.2641,-4.3381,2.4637
1ZI8A_decoy13_45,1ZI8A_decoy13_45.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-11.1230757680526,5.6,25116.04228,233,57.7105855855856,-2864.30479113675,299.128283433566,-2128.12299785417,-1035.31007671613,-378.23,-79.12,527.64,-826.72,0,-387.8,5149.45739776196,-1344.37148316524,1946.1163011161,3.70863714727429,-223.003926837573,817.769146243646,-15.8888040184966,41.845348007714,-47.9474558722793,-76.1569262981608,-2.79490423441363,-3.156945029681,0,215.253376065361,7.49023066209758,685.869757120886,573.280136179872,2479.14972067485,0,-81.6883,-0.3506,-3.4884,2.2524
1ZI8A_decoy7_1,1ZI8A_decoy7_1.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-9.60900997580374,5.6,25116.04228,233,58.5011261261261,-3029.82078262572,350.045725776952,-2186.68880773737,-1193.17770066528,-316.32,-79.12,530.27,-767.44,0,-407.3,5993.19241161609,-1336.60800444585,2551.34519325018,7.9042803346426,-214.584448600892,815.60155945451,-11.3736648439418,47.5868397895402,-46.8317486239573,-73.8121858341652,-8.25235016604896,-0.587023119373765,0,208.965356014842,25.3225266256387,922.18036208234,525.080613127396,2488.95991657123,0,-113.3682,-0.4866,-3.4282,2.1958
1ZI8A_decoy32_19,1ZI8A_decoy32_19.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-7.51479423967819,5.6,25116.04228,233,56.7916666666667,-2753.18477815621,357.201717946464,-2081.04397963826,-1029.34251646441,-122.01,-79.12,560.92,-603.8,0,-354.2,5557.19819717744,-1278.33870950816,2699.44942785897,6.16637545572989,-129.005847785303,787.797594459793,-16.2205870998038,43.928659234505,-38.9919898713782,-59.5916755358589,-4.15093482700552,-6.49960261424247,0,236.062289043328,16.9600858677814,727.543674520811,740.44254349546,1739.35170448282,0,-80.0597,-0.3436,-4.1785,2.1458
1ZI8A_decoy31_41,1ZI8A_decoy31_41.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-3.16847259295867,5.6,25116.04228,233,54.0551801801802,-2646.87073776601,329.399267331124,-1971.58497466469,-1004.68503043244,-182.83,-79.12,553.99,-657.69,0,-328.1,6221.47979354961,-1210.34450067967,1995.95407297203,3.44877054218456,-157.946357175928,783.709874167151,-20.587260139476,42.4386309113044,-22.5903890280791,-62.4763627123115,-5.24724976121001,-1.9301604619838,0,174.179838863789,5.56974498244037,848.513455295453,858.646104481661,2897.84639129225,0,-54.13,-0.2323,-4.0471,2.6376
1ZI8A_decoy17_85,1ZI8A_decoy17_85.pdb,,0.133047210300429,0.004291845493562,0.047210300429185,0.051502145922747,0.042918454935622,0.107296137339056,0.030042918454936,0.030042918454936,0.030042918454936,0.090128755364807,0.017167381974249,0.021459227467811,0.055793991416309,0.060085836909871,0.042918454935622,0.055793991416309,0.030042918454936,0.085836909871245,0.012875536480687,0,0.051502145922747,-7.1784211925956,5.6,25116.04228,233,57.2263513513514,-3015.46932103245,279.268303281334,-2128.05817988477,-1166.67944442903,-540.04,-79.12,516.23,-977.13,0,-393.5,5465.67270262741,-1318.9706602726,1568.06697152062,4.68604413282169,-245.185744229118,821.067095192181,-15.1417429790248,48.5266399203243,-45.4157673367963,-78.1586150720539,-2.93567739408835,-4.67689771478613,0,151.160431772463,9.61272520195817,878.655629148624,530.579772543114,3071.50730819377,0,-75.6553,-0.3247,-3.3986,1.7256
