design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
2XODA_decoy33_106,2XODA_decoy33_106.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-9.603409303377598,4.800000000000003,13311.95118,118,54.21153846153846,-1479.3052298933096,144.4981264992204,-1024.8675344630947,-598.9358219294415,-228.95,-35.80000000000001,266.17,-459.31999999999994,0,-177.7,2539.473511146739,-637.5960478871768,789.784479577784,2.344096892741368,-115.7996716977076,458.2782451330501,-12.73526556294665,23.60087835492676,-22.49418389211546,-41.49637743344965,-3.177589995524474,-2.34222505360298,0,101.7402542816426,8.942085585743412,536.7347361579035,240.4176298225038,1181.413646862967,0,-70.70749999999998,-0.5992,-3.6418,2.4398
2XODA_decoy49_119,2XODA_decoy49_119.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-9.842075363699351,4.800000000000003,13311.95118,118,55.27777777777778,-1498.2118602983635,140.38837763013183,-1057.7653843026412,-580.8348536258617,-203.91,-35.80000000000001,298.33,-466.46,0,-174.3,1578.600778912533,-633.1874210083798,528.795505264214,3.313331230837365,-112.1289569008518,453.3743176824443,-10.39591565883341,27.00377314624543,-17.19955293638712,-39.80152752526236,-5.33245933356139,-4.698223359122247,0,100.2539741737296,28.66724422877209,276.5743340693376,312.0756939289295,639.4278419104214,0,-62.114,-0.5264,-4.2863,3.3814
2XODA_decoy3_69,2XODA_decoy3_69.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-19.030247908038323,4.800000000000003,13311.95118,118,54.5,-1641.9957630601823,112.69905207928528,-1088.8938230972065,-665.8009920422678,-270.84,-35.80000000000001,266.6,-501.65999999999997,0,-197.2,1690.853873105634,-648.2433131822419,915.8417424060159,3.289529182479156,-137.1946603857585,408.119629315984,-7.080586928303356,24.25302846268032,-28.09612716679096,-40.2902442126723,-1.610873796891472,-5.623656663967838,0,56.63808685340595,-0.09468000208645254,307.3908567076505,189.3427762561823,622.3535462599492,0,-121.01369999999999,-1.0255,-3.7477,2.341
2X2P_native,2X2P_native.pdb,,0.05128205128205128,0,0.07692307692307693,0.08547008547008547,0.05982905982905983,0.06837606837606838,0.008547008547008548,0.06837606837606838,0.06837606837606838,0.06837606837606838,0.03418803418803419,0.07692307692307693,0.02564102564102564,0.008547008547008548,0.05128205128205128,0.05982905982905983,0.05128205128205128,0.09401709401709402,0.008547008547008548,0,0.03418803418803419,-23.824133795730585,4.600000000000003,13284.88278,117,55.91434689507495,-1711.068238202543,66.14289321409856,-1116.5263508087842,-660.6847806078542,-593.47,-33.67,236.53,-796.3299999999998,0,-197.8,-144.0187191742768,-675.8370118730522,69.26277460492496,1.366409352973877,-162.6566026099607,421.4249080469623,-15.89222973643582,25.75956172519569,-22.69234248254532,-40.40059214228589,-18.92632286447231,-5.319245480445309,0,-1.625757064477082,-25.62632638134401,249.0010078074138,29.68646682614715,0.2875530971241347,0,-119.1242,-1.0182,-3.4203,1.653
2XODA_decoy25_5,2XODA_decoy25_5.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-16.091660772974997,4.800000000000003,13311.95118,118,56.02350427350427,-1691.5423816733903,137.35210013326548,-1098.374427964046,-730.5200538426071,-287.86,-35.80000000000001,268.97,-521.06,0,-196.4,1876.773438528919,-664.0266050237343,906.4511834383409,5.406963831182066,-134.7603424216766,445.1491349887875,-8.901177430213014,31.20725727167191,-25.20752054825453,-43.01090196719433,-0.09102635830586833,-4.668104507515864,0,69.08722907503,4.202230958242694,417.0704643760151,211.3521918327369,635.6536410138064,0,-96.00559999999997,-0.8136,-2.9359,1.4917
2XODA_decoy38_84,2XODA_decoy38_84.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-8.216400936487284,4.800000000000003,13311.95118,118,53.64316239316239,-1581.9540681290505,127.48504431284027,-1043.729297651584,-665.7098147903258,-215.68,-35.80000000000001,270.25,-450.13,0,-179.9,1486.694689037265,-643.8256427290363,597.1473803718875,4.991687190179308,-134.7680458001788,429.6346319332029,-4.704195098367975,24.85217236832847,-22.09288072637517,-43.46002027738012,-1.268898229096948,-2.081182078337096,0,64.82005442015364,13.55572444093779,341.66722191721,327.5315258679084,502.8363354662292,0,-93.4248,-0.7917,-3.4647,1.4287
2XODA_decoy35_1,2XODA_decoy35_1.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,1.1737270223730754,4.800000000000003,13311.95118,118,54.31410256410256,-1573.3841846064333,112.312273502224,-1030.5570241876778,-655.139433920989,-293.16,-35.80000000000001,267.59999999999997,-524.9699999999999,0,-167.3,1750.26050198159,-644.1697039369981,734.1550836811107,4.16547429108355,-125.9178925332617,438.354558851221,-7.14411154642494,26.47978651995414,-27.60900341653475,-39.77908781661652,-1.321009685502688,-2.101058549311333,0,71.81748199730708,2.671628167967677,299.3636780185427,355.4189418953725,634.0169160436807,0,-71.3135,-0.6044,-3.1419,2.8469
2XODA_decoy33_102,2XODA_decoy33_102.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-9.964113036463418,4.800000000000003,13311.95118,118,54.4508547008547,-1592.424912894916,96.65048276675277,-1032.465604374292,-656.6097912873738,-363.09,-35.80000000000001,258.06,-585.36,0,-177.9,2251.605597787133,-632.9992768111093,593.8429665353236,2.140563829707598,-137.1595472532297,442.6045348081647,-6.267750825438364,26.34109606421592,-26.26484419709874,-47.46262051015203,-0.006262449831868648,-6.039031204013036,0,84.0373248082784,0.7277873951526479,520.4869866467656,389.6808698019347,1016.083981148463,0,-57.80410000000001,-0.4899,-3.4793,2.5802
2XODA_decoy40_5,2XODA_decoy40_5.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-4.681016191991368,4.800000000000003,13311.95118,118,55.61752136752137,-1612.7074567187258,138.14691846780315,-1086.4913942083156,-664.3629809782201,-259.62,-35.80000000000001,261.05,-484.87,0,-181.3,1847.317493444865,-672.4347428623735,922.8398071392329,2.160934302077926,-129.1857396993578,450.9620058219922,-7.805132696770088,26.86281317362283,-22.56280893963721,-43.64209804934155,-3.532769181917615,-0.6502231152016634,0,94.09810169487942,10.07979710818827,293.4991983693857,217.5256278888313,677.2439024912537,0,-91.4877,-0.7753,-3.148,1.0012
2XODA_decoy63_6,2XODA_decoy63_6.pdb,,0.059322033898305086,0,0.059322033898305086,0.09322033898305085,0.059322033898305086,0.07627118644067797,0.00847457627118644,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.03389830508474576,0.07627118644067797,0.025423728813559324,0.00847457627118644,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.09322033898305085,0.00847457627118644,0,0.03389830508474576,-1.9596583380315509,4.800000000000003,13311.95118,118,54.85470085470085,-1476.0705525903388,165.26094512832717,-1031.758601908835,-609.5728958098382,-139.21,-35.80000000000001,267.74,-371.17,0,-165.2,1652.929493987379,-657.3368436086345,757.1161136926029,2.346799480083579,-109.296621963561,480.0158326146259,-13.25175099750374,26.23933543621888,-7.898614836838834,-49.01426695403282,-1.969501633678979,-0.1856143575987863,0,82.53977696872796,6.546117434390271,297.2800275620108,384.4497805379253,423.4901046126425,0,-22.605,-0.1916,-2.8609,3.012
