design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3CHBD_decoy3_54,3CHBD_decoy3_54.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-12.19167698019802,8.400000000000006,11626.191979999998,103,50.90417690417691,-1206.382873944875,49.119063625215745,-808.4413404526805,-447.0605971174148,-226.22,-32.76,240.14000000000001,-433.63000000000005,0,-146.1,1311.233514568007,-500.4797431224949,403.3890220076235,2.295353342767632,-92.11144745024079,325.3811479097457,-10.61641026459748,19.37847926556063,-31.44832651064198,-27.75256040865653,-1.827694123411094,-1.521311321772257,0,35.60802439295286,7.490152569063118,262.7143125489509,335.2569057205991,552.6544400125588,0,-90.15990000000002,-0.8753,-3.3667,1.401
3CHBD_decoy4_52,3CHBD_decoy4_52.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-13.876237623762371,8.400000000000006,11626.191979999998,103,53.19410319410319,-1260.005747303534,99.1932076465708,-875.1227989761693,-484.07615597393334,-170.13,-32.76,256.43,-393.7899999999999,0,-145,1954.021860519768,-547.1019208533725,1001.857858305978,2.302765712834584,-107.9289169724012,365.391586698273,-4.331467247611484,23.2651891285073,-37.35512892080016,-23.26654719840644,-1.210797341180486,-0.9575157729695318,0,89.01408488693541,15.66622083904798,297.0459213901215,270.5827392089051,578.2246186559069,0,-73.1818,-0.7105,-3.5608,1.7315
3CHBD_decoy1_23,3CHBD_decoy1_23.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-26.937383972772274,8.400000000000006,11626.191979999998,103,52.83783783783784,-1307.00742929451,74.72126096464854,-867.9341100278104,-513.7945802313449,-280.55,-32.76,237.48000000000002,-485.26,0,-154.1,722.1422130734672,-538.3995221249144,333.5163772699279,2.237863870743706,-104.1729861105425,346.2618828541326,-4.898021722874535,22.3475569871564,-34.66552295544285,-29.47372771712189,-0.09455373116748952,-1.562868585709013,0,31.90974741701456,-5.47111850791644,166.7465655925111,309.9939523327118,195.0434182049582,0,-85.07770000000001,-0.826,-3.0859,2.2034
3CHBD_decoy24_52,3CHBD_decoy24_52.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-2.412844214108911,8.400000000000006,11626.191979999998,103,51.896805896805894,-1211.1866609327824,100.4864179416062,-818.8514739034883,-492.82160497090103,-197.96,-32.76,268.31,-433.5400000000001,0,-128.6,1672.639341148028,-514.7397654043984,349.1090046411786,3.001575826824519,-119.701049640459,382.1303165039337,-7.253333053998464,20.18881831638091,-35.19157710926196,-31.69088784435163,-0.6464273339320088,-3.641159176776923,0,94.42471294269912,6.765561112685193,400.486762950363,255.0288804730993,841.544737944042,0,-36.4905,-0.3543,-3.5542,2.2665
3CHBD_decoy37_1,3CHBD_decoy37_1.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-10.158415841584159,8.400000000000006,11626.191979999998,103,52.86732186732187,-1257.587505773556,82.86299652318213,-839.4868068416251,-500.9636954551107,-172.69,-32.76,249.08,-388.9899999999999,0,-141.3,1805.450876502483,-534.35245776152,552.2383638905054,2.794281714132881,-93.13541744645023,386.2204466023515,-3.608804292410112,28.14441670583478,-24.67082720132822,-31.94911300705625,-2.828206905259622,-0.8248801904913043,0,52.53970561464698,10.71246115519615,303.6986964788878,413.8608450248278,713.7881961206155,0,-51.8221,-0.5031,-2.7097,2.2629
3CHBD_decoy33_21,3CHBD_decoy33_21.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-13.097965655940593,8.400000000000006,11626.191979999998,103,54.62653562653563,-1199.3048074184035,117.83631349823172,-877.4895603244325,-439.65156059220016,-153.15,-32.76,280.12,-400.48999999999995,0,-139.3,1454.28843734295,-565.2797609810192,586.3487223950807,4.627356630177373,-91.01113160134445,392.2263008803044,-0.004541953033467772,24.27175406057032,-32.08493366015507,-24.00982849296236,-0.5571784578902692,-3.929429813933956,0,82.70502331493675,12.2695868244349,293.4202297682729,291.6316611927425,450.8414372367684,0,-60.0227,-0.5827,-3.5587,2.2085
3CHBD_decoy33_134,3CHBD_decoy33_134.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-8.336788366336636,8.400000000000006,11626.191979999998,103,52.68304668304668,-1249.3248881730026,80.12829422189708,-851.4330834585519,-478.0200989363496,-178.73,-32.76,263.99,-409.95000000000005,0,-130,1582.886387820165,-529.4990882218948,607.0534788100866,5.072168795674229,-104.4945942965692,366.2976698465873,-4.010445473248209,26.07807197585493,-35.2289025427056,-21.77231866965703,-3.226829528241557,-1.488308581291859,0,64.92660019713611,4.493156775171751,248.3219073166615,398.9737640842745,528.5668873323267,0,-64.087,-0.6222,-3.9393,2.6084
3CHBD_decoy2_46,3CHBD_decoy2_46.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-20.013265779702966,8.400000000000006,11626.191979999998,103,53.64127764127764,-1225.3674773781959,108.57528528525549,-874.471355412867,-459.4714072505877,-212.2,-32.76,246.81,-426.23999999999995,0,-150.5,1152.664308495328,-548.8051800043136,503.9519212312865,2.264404458041359,-105.9886661238163,365.0140543757397,-7.201659207410177,23.1538509040408,-29.62032077834802,-28.70189214648108,-2.160352415158006,-2.656431449896799,4.612814176806756,89.2689083744812,8.884081290236512,193.0212455961975,281.0241208058025,373.7802394081197,0,-92.595,-0.899,-3.7272,1.3883
3CHBD_decoy2_33,3CHBD_decoy2_33.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-23.0500270730198,8.400000000000006,11626.191979999998,103,54.06388206388206,-1326.8732948575532,89.21692675471608,-879.730369687522,-536.3598519247411,-224.91,-32.76,241.45,-433.6099999999999,0,-155,1964.115135389112,-542.4080514866,674.5500526111082,2.081649729722201,-118.297050387768,354.3629776791281,-9.366911726910743,20.61650237866768,-35.87274030406393,-31.49544190452458,-2.016948668871366,-3.941537764126479,37.75957575391727,49.4680323252452,8.131191927932916,334.122903567127,252.8238582169701,940.7739034421581,0,-97.89410000000001,-0.9504,-3.2474,1.9939
3CHBD_decoy3_101,3CHBD_decoy3_101.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-11.362575417698016,8.400000000000006,11626.191979999998,103,49.57493857493858,-1176.0235395617713,62.55351596470824,-790.4453375294044,-448.1317179970768,-250.79,-32.76,233.02,-451.04999999999984,0,-142.9,1088.945548907566,-496.658922585946,476.5765629547607,1.654697660829962,-112.7855551602629,330.9829513425576,-6.490386039884612,20.85082230799582,-35.7898050492396,-30.11712446793211,-0.3036728602865118,-2.37105748304135,0,37.69508063515232,-3.284596720294661,234.0161959248526,203.8921938829632,438.2549945653421,0,-101.18929999999999,-0.9824,-4.1216,1.2955
