design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3NJNA_decoy57_31,3NJNA_decoy57_31.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-7.507231404958676,3.7000000000000024,12108.671279999999,114,51.471830985915496,-1170.4756384977054,125.9546507552432,-934.69274035631,-361.73754889664673,-53.62,-20.6,301.39000000000004,-334.39000000000004,0,-153.6,2681.074739928412,-534.5215530958063,947.85412669407,4.287427740045878,-77.88973991487674,298.8022582574416,2.126458293782816,20.03924751266866,-41.13469430974629,-7.856085604438477,-3.970560565936896,-0.008422284104754305,0,104.9438910544576,5.603822971715665,288.5939788499676,503.4414863504162,1108.583457978755,0,-6.312399999999998,-0.0554,-3.2359,3.4044
3NJNA_decoy1_7,3NJNA_decoy1_7.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-12.185461555489963,3.7000000000000024,12108.671279999999,114,52.08920187793427,-1236.0432191655377,56.651686835467196,-931.6457172000657,-361.04918880093555,-222.64,-20.6,266.69,-468.7300000000001,0,-170.3,1810.802189898999,-516.2081747137512,320.771122151558,2.960304698684058,-85.27671933856301,276.7562265495779,-0.5151803358481784,20.54027180520172,-55.78491174056672,-6.718050691714397,-1.054359460132248,-2.80505241371915,0,33.72384201176314,-13.77389661374313,381.1303022200428,266.9972202746911,1127.879605495518,0,-21.027699999999996,-0.1845,-2.794,1.8234
3NJNA_decoy20_8,3NJNA_decoy20_8.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-5.484365776269184,3.7000000000000024,12108.671279999999,114,50.333333333333336,-1183.04383314178,102.17522495108523,-886.3597564628628,-398.85930162999904,-115.6,-20.6,306.27,-401.27000000000015,0,-144.5,2641.115644036267,-512.8456773954184,675.9221677177632,5.065464440035654,-116.2099908094218,312.7471052339972,1.354948583576,19.59770155936104,-60.08073163278234,-6.903282781932395,-0.7755091984849074,-0.6323291662117043,0,93.94844399433913,12.97522806239923,276.43632691846,466.1653150299589,1412.170823480628,0,8.571500000000004,0.0752,-2.8107,3.6024
3NJNA_decoy13_159,3NJNA_decoy13_159.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-9.473140495867767,3.7000000000000024,12108.671279999999,114,51.889671361502344,-1119.8283391470907,114.56807177075893,-911.2001886164045,-323.1962223014443,-50.24,-20.6,296.46,-326.12000000000006,0,-151.8,2171.025395379766,-533.9208090331151,943.8097470585368,2.82650727213335,-74.21855555910972,318.8265851961908,-5.248101792065604,17.19222343769799,-39.35574633349793,-7.845659412754708,-2.532356934440648,-0.7169911233766002,0,85.85126600858165,-5.300235593793799,242.2644877992513,443.5413072721813,723.6720871173469,0,2.463200000000003,0.0216,-2.1473,2.7763
3NJNA_decoy13_74,3NJNA_decoy13_74.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-4.072775236127507,3.7000000000000024,12108.671279999999,114,55.31220657276995,-1241.5323407373185,151.45331919230605,-998.9628249545101,-394.0228349751192,-32.84,-20.6,301.91,-314.17,0,-160.3,3157.082894779955,-585.032244162636,1121.009413347391,4.377911794210764,-84.46325469201582,352.7751064348415,1.17083600914385,20.64475133999311,-51.99169399466995,-5.480152343586436,-3.937219422255218,-1.009802828606759,0,116.3686293072941,-5.448525354852928,520.36175971373,340.5901648506616,1354.967574781312,0,-2.232799999999999,-0.0196,-2.3584,2.5036
3NJMA_native,3NJMA_native.pdb,,0.05737704918032787,0.00819672131147541,0.07377049180327869,0.01639344262295082,0.05737704918032787,0.09016393442622951,0,0.07377049180327869,0.040983606557377046,0.10655737704918032,0.00819672131147541,0.05737704918032787,0.04918032786885246,0.08196721311475409,0.00819672131147541,0.03278688524590164,0.11475409836065574,0.10655737704918032,0,0,0.01639344262295082,-15.341694234404535,3.9000000000000026,13029.726279999997,122,53.36968375136314,-1442.348240782135,60.72570828778956,-1026.733673476681,-476.3402755932313,-457.66,-24.330000000000005,251.85,-685.1600000000001,0,-184.5,-124.6259764422205,-600.6730498861738,80.8333624969499,1.250575386039528,-138.2655267908962,339.7863241042758,-9.963763941268056,20.79049317061969,-60.72807169322547,-5.914243964808561,-17.2235567445779,-4.286205683935548,0,-12.72207901324952,-34.2282238695746,216.763491632882,24.67540570157782,13.14740265314433,0,-30.6922,-0.2516,-2.7985,2.6593
3NJNA_decoy1_117,3NJNA_decoy1_117.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-14.928165584415583,3.7000000000000024,12108.671279999999,114,52.3075117370892,-1218.0213220534845,108.85157059891714,-939.0062224278496,-387.86667022454736,-189.6,-20.6,296.12,-465.12,0,-168.4,1629.34621512948,-525.5215346308934,360.0296479171333,3.850238232817201,-87.27118730558307,293.6816050323728,1.915884757517827,20.70371710321769,-55.10422971549022,-7.505288706506658,-1.007251023029326,-4.092041969065487,0,53.63763403796874,-4.556877543298329,288.7057861329839,255.0386427783955,974.661830030939,0,-15.183,-0.1332,-2.4783,2.3379
3NJNA_decoy59_107,3NJNA_decoy59_107.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-0.45078678423848845,3.7000000000000024,12108.671279999999,114,48.41549295774648,-1089.2766659180365,148.94911232852166,-831.0103741043004,-407.21540414226,66.87,-20.6,298.91,-211.45999999999995,0,-134.2,2726.835876471015,-517.6320460865378,878.0994908316321,3.897926469169661,-26.55320188534514,353.0343133203048,-10.3421776302336,23.74814465857465,-5.668890687388014,-19.90134421359482,-0.1555053408516287,-3.030481183116674,0,126.5842456063637,12.73996571569828,432.4089632639152,304.2622861349459,1113.164547497479,0,34.88980000000001,0.3061,-2.6559,3.0167
3NJNA_native,3NJNA_native.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-13.560752103010627,3.7000000000000024,12108.671279999999,114,50.436619718309856,-1239.441079906826,92.30850167711873,-894.8933693462491,-436.8562122376926,-152.22,-20.6,233.76000000000002,-365.3699999999999,0,-163.8,777.2993532968413,-528.4388997547767,988.240436177573,1.308498990216479,-127.7772634029027,298.7362012065872,-9.299781690674974,21.75473666392437,-48.17689147916077,-6.306170038028075,-14.32568412486913,-8.941231204632253,0,-13.90235852566998,-36.25939281644982,168.3286848323803,22.69445896839387,7.484369494930459,0,-21.665500000000005,-0.19,-2.8547,2.6613
3NJNA_decoy38_174,3NJNA_decoy38_174.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-4.179456906729634,3.7000000000000024,12108.671279999999,114,49.875586854460096,-1144.975626984319,80.44976005981869,-865.6083682549626,-359.8170187891772,-66.56,-20.6,330.98,-376.94,0,-141.4,2967.478264815152,-502.9187637131255,506.8372127105721,2.912636333531316,-74.245787765854,310.6731716251043,2.972035869560198,24.45242500594442,-46.2832401625445,-7.432497350109959,-0.6014610040867763,0,0,159.1154682869818,21.38951389474728,547.1323285596218,449.6996019482038,1511.595980576606,0,5.415399999999998,0.0475,-2.7212,2.8964
