design name,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value,pdb id,decoy or native,structure group
3WDCA_decoy24_75,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-1.9290616082693903,6.200000000000005,16223.49988,147,53.08756567425569,-2085.0919651867694,122.79058917207816,-1225.754692190111,-982.1278621687384,-436.76,-37.43,269.59,-668.9299999999997,0.0,-218.7,2152.864410299572,-812.8151465391873,881.9048506682528,2.869620672460944,-160.6292028663642,589.9212928936252,-14.80388812328274,30.11817885767096,-1.378955639580125,-93.3074285859258,0.0,-3.002953034634055,0.0,57.11811665652739,3.206923671327804,367.2923199034298,216.0529061977394,1034.549815567512,0,-51.7665,-0.3522,-2.8051,2.2454,3WDCA,decoy,3WDCA
3WDCA_decoy3_109,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-19.705756263229084,6.200000000000005,16223.49988,147,55.32749562171629,-2189.8499547913875,135.07211750958766,-1299.4041835533485,-1025.517888747631,-513.93,-37.43,262.73,-739.2199999999998,0.0,-252.0,1546.550747985069,-842.8981698810234,985.6637610369588,3.649989017550594,-153.6399039559801,560.8246835652758,-14.73674454396441,31.7401996199827,-1.878722361239509,-92.55413875978805,-3.440848732522522,-3.844317987015309,0.0,20.91438854978678,-10.12410979898628,308.681371006386,321.0809254363007,381.3444257733473,0,-96.9539,-0.6596,-3.1716,1.4923,3WDCA,decoy,3WDCA
3WDCA_decoy19_116,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-2.102711188966297,6.200000000000005,16223.49988,147,54.651488616462345,-2160.018672718823,123.51544392914172,-1254.8450526963088,-1028.689063951673,-463.88,-37.43,270.31,-696.77,0.0,-227.4,1907.408780654175,-822.9751079063956,762.2368971406379,4.446910841411118,-188.5608025630399,623.0151279271555,-17.43876321877605,34.41919190751353,-0.7637391599709156,-98.14644265444956,-4.232503631596641,-3.785244129375102,0.0,45.80470076447299,0.9490477068994452,403.8063727937542,174.7476049746334,938.1175698613006,0,-3.082899999999995,-0.021,-2.2444,3.0089,3WDCA,decoy,3WDCA
3WDCA_decoy8_20,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-12.998074042658956,6.200000000000005,16223.49988,147,55.19614711033275,-2209.216796599212,120.33356934923016,-1314.959637926609,-1014.5907280218452,-509.96,-37.43,274.16,-746.7,0.0,-243.9,2044.76025869155,-840.5728055748917,1199.331329513879,2.967438652693837,-156.0947241538079,556.1688802028822,-17.16049941264513,31.54946785079984,-5.846025562712786,-85.80609072720526,-2.09417190752094,-1.850517443082417,0.0,47.04645641576699,-10.43319542968796,419.6922118756308,230.008285372598,622.086259018853,0,-85.68019999999999,-0.5829,-3.2697,1.4034,3WDCA,decoy,3WDCA
3WDCA_decoy9_109,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-4.8801932784711,6.200000000000005,16223.49988,147,55.74781085814361,-2092.593140706401,170.48216030278243,-1303.662468471854,-959.4128325373404,-380.58,-37.43,293.84000000000003,-636.9799999999998,0.0,-242.1,1891.614451259122,-844.524353399644,927.5242797100184,4.456704360746198,-145.1587186442054,599.5165989335444,-13.51353013136196,37.00936290380803,-2.141054150016677,-81.13842978375538,-1.646647248160985,-3.856161444599159,0.0,34.30882271630272,-3.797781076228677,437.0735323140443,272.7517534114548,618.9821127871744,0,-65.0257,-0.4424,-3.0563,2.2404,3WDCA,decoy,3WDCA
3WDCA_decoy12_5,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-10.06952721135738,6.200000000000005,16223.49988,147,55.67775831873905,-2110.085732532338,159.95272258479883,-1312.8234317020897,-957.2150234150466,-334.38,-37.43,297.66,-594.6100000000001,0.0,-237.1,2535.050052228169,-870.8889907969382,1319.478440544679,5.436216955046815,-184.654198106236,608.9268508606231,-16.36620314722812,32.27936755194126,0.0,-91.69565069300492,-2.858809870941348,-3.400706753979121,0.0,86.96908904309969,3.640234238000758,425.3771312396743,307.617286737801,859.4220344256313,0,-56.0171,-0.3811,-2.4687,1.4461,3WDCA,decoy,3WDCA
3WDCA_decoy9_134,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-6.298291223651357,6.200000000000005,16223.49988,147,54.93520140105079,-2089.7786053211044,167.35474381308669,-1291.3379703681069,-965.7953787660877,-393.21,-37.43,284.95,-640.7299999999999,0.0,-242.2,1430.970143965326,-832.6323429069433,935.9502366407628,3.303964084341566,-147.7974889616677,593.4686947713675,-10.78783985655875,34.30897898621906,0.0,-86.5958414751743,-2.469268471695705,-8.093888191805988,0.0,39.35046186522465,-7.047866923778991,334.9865054376576,207.1572646648133,322.1006143025643,0,-68.33529999999999,-0.4649,-2.9474,1.3712,3WDCA,decoy,3WDCA
3WDCA_decoy22_73,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-9.427384950828646,6.200000000000005,16223.49988,147,55.16287215411559,-2175.6219461598084,162.3096295314325,-1291.2760493098858,-1046.6555263813548,-360.02,-37.43,297.78000000000003,-620.3500000000001,0.0,-231.5,1335.451162474605,-844.9772828384324,1037.245711411999,2.529941747677832,-148.420664367868,610.1212626046051,-9.896664670088814,34.98172788000345,0.0,-87.78645159625384,-1.741559281660232,-2.313780289218015,0.0,101.0910041369512,4.611035318909354,253.3167749498557,276.406888167753,54.51525930037172,0,-49.3654,-0.3358,-2.8954,2.4679,3WDCA,decoy,3WDCA
3WDCA_decoy3_105,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-20.711131118630927,6.200000000000005,16223.49988,147,54.55866900175131,-2109.16006852429,135.0785020880931,-1288.2612445236955,-955.9773260887032,-500.65,-37.43,266.03,-729.2500000000002,0.0,-252.2,1833.54716918537,-823.2241824807996,1019.548717001137,4.613111019972821,-157.692219415494,552.2976224120843,-17.9489303737024,31.83058168507069,-3.066513746126745,-92.66354047526832,-2.187790964974909,-0.9930159124824476,0.0,40.63222058056324,-5.783633073880708,291.3080226018324,259.9362461063627,681.1725142210762,0,-98.4708,-0.6699,-3.3907,1.5488,3WDCA,decoy,3WDCA
3WDCA_decoy22_38,0.0748299319727891,0.0,0.0068027210884353,0.1156462585034013,0.0204081632653061,0.1088435374149659,0.0408163265306122,0.0748299319727891,0.0272108843537414,0.1496598639455782,0.0136054421768707,0.0204081632653061,0.0204081632653061,0.0680272108843537,0.0748299319727891,0.0476190476190476,0.0340136054421768,0.0816326530612244,0.0,0,0.0204081632653061,-6.139034276928553,6.200000000000005,16223.49988,147,54.537653239929945,-2137.6534098830766,118.16807043272736,-1256.716305708626,-999.1051746071884,-503.4,-37.43,276.27,-742.2300000000001,0.0,-228.9,1298.250357473299,-836.7937530468027,605.3385239432043,3.326790332400929,-175.2606644090865,616.526673942506,-17.0269042359588,32.18942922030042,0.0,-99.7587821191214,-2.629964831319176,-4.824390941309137,0.0,42.43665428202686,3.85589883457015,304.6943139023285,181.8932384711607,588.5153341283986,0,-33.3271,-0.2267,-2.1576,1.9225,3WDCA,decoy,3WDCA
