design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3MMHA_native,3MMHA_native.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-18.9125130656265,4.4,18165.34038,167,56.6911076443058,-2437.40614218618,105.171269792929,-1545.5752812314,-997.002130747716,-859.26,-31.59,318.33,-1146.01,0,-294,-278.170261216503,-944.27190184267,104.719649416984,1.64404077278668,-241.05634968869,560.27291552871,-20.2826207931334,32.6231970386051,-41.0537557489196,-56.9639254516662,-30.2643292787976,-10.973172744246,-0.772218088621265,-3.70741317441144,-28.7083191581931,267.77292309507,43.9770502899424,6.49729861074836,0,-108.5111,-0.6498,-2.7164,1.5031
3MMHA_decoy20_110,3MMHA_decoy20_110.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-10.1744854966518,4.4,18165.34038,167,56.0530835284934,-2118.10345638167,213.470111417032,-1477.26743348734,-854.306134311358,-277.27,-31.59,380.37,-626.07,0,-273.6,3201.42342912728,-909.903324883545,1236.18788414157,5.53497180101606,-175.552398454356,587.257714896766,-10.1601625165371,38.8575968964412,-37.5348508625856,-58.1581395307375,-1.9602869568399,-1.72059225891232,0,81.3806910285916,5.95702214942474,539.213812645437,435.493677974357,1384.15314305719,0,-76.8264,-0.46,-3.5296,1.9436
3MMHA_decoy9_23,3MMHA_decoy9_23.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-14.8378018290945,4.4,18165.34038,167,57.856362217018,-2289.95454216384,199.505108472836,-1561.92066097725,-927.53898965941,-382.99,-31.59,371.13,-722.57,0,-297.9,4388.2395625143,-963.197420205946,1415.19372888931,4.78553852436163,-167.6539908973,589.407644456978,-10.345496545868,35.4099240710069,-34.693528609909,-60.2793098566641,-4.24903103060057,-4.26205455233068,0,95.0900772383971,-8.60506329536192,625.37250847996,400.135174438827,2393.75419140944,0,-79.851,-0.4781,-2.8641,1.4814
3MMHA_decoy11_30,3MMHA_decoy11_30.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-12.4287750793063,4.4,18165.34038,167,57.5113192818111,-2291.50890412195,169.562995837661,-1543.67354793936,-917.398352020238,-427.55,-31.59,356.73,-752.72,0,-291.5,3122.36101792111,-966.698478461832,1386.07731992611,5.01011055719443,-164.531878574367,609.658803865774,-12.0959803841675,38.2914162407307,-34.8207179068103,-73.2461339103768,-0.991888088590027,-1.75143007913231,0,68.5899685254629,4.96872704261969,488.045897644604,256.898412122656,1436.58019940123,0,-62.7072,-0.3755,-2.6474,1.9474
3MMHA_decoy14_144,3MMHA_decoy14_144.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-4.44416731694313,4.4,18165.34038,167,54.8009367681499,-2143.14698890957,181.505617459622,-1432.99389836018,-891.658708009002,-292.84,-31.59,362.91,-624.17,0,-264.6,3634.90987473723,-883.133804203936,1489.34913872276,3.09989449568298,-164.323527344187,604.3155802221,-7.07563065717836,35.1111439401133,-33.3507194297059,-67.2358522673215,-3.27900527545403,-1.74380371333298,0,76.7535769554642,-3.89954937409507,567.022650005414,459.247787716889,1481.67532494402,0,-46.6077,-0.2791,-2.8565,2.2781
3MMHA_decoy1_4,3MMHA_decoy1_4.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-17.6328850227815,4.4,18165.34038,167,57.0054644808743,-2315.08432861906,171.372103950808,-1543.59452497699,-942.861907592849,-514.15,-31.59,342.69,-825.28,0,-296.1,2852.44378988703,-939.551534600641,787.554516057953,3.92884596669977,-186.650665482114,576.311852527058,-10.1110780713024,32.1703225852253,-41.5914741237285,-62.9863269896369,-3.41783334874148,-0.541557238699252,0,61.323493708665,-9.34088734006071,589.96828527898,272.717950168912,1700.28321078846,0,-86.8733,-0.5202,-2.7037,1.4939
3MMHA_decoy5_7,3MMHA_decoy5_7.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-15.5259761186889,4.4,18165.34038,167,57.024199843872,-2322.26859426952,146.679123283033,-1553.79999259408,-915.147724958489,-436.94,-31.59,350.57,-755.93,0,-294.4,3754.37332654454,-948.028136803195,947.11278348593,4.45296968216881,-166.837154903993,571.392352034023,-16.9033957555788,36.9358818564462,-34.2280387029109,-58.6242754603045,-7.09945159403987,-2.23040530278326,0,61.4196921476611,-12.0432226349372,603.026630862476,343.981487650207,2349.66893998337,0,-114.6918,-0.6868,-3.4626,1.2104
3MMHA_decoy12_73,3MMHA_decoy12_73.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-9.53195118555382,4.4,18165.34038,167,57.239656518345,-2408.94839470669,161.833824909231,-1533.34350641722,-1037.43871319869,-458.2,-31.59,345.43,-772.07,0,-287.5,2760.55681705745,-940.7258832982,1124.69014190003,4.98309961887031,-192.389318243296,596.056144785038,-13.4199892842581,42.4814507988543,-36.0369172983293,-63.2158985846685,-1.39036850690526,-1.2246675270884,0,60.7291478936143,-1.23504581410928,493.076276870194,344.492625674851,1261.30934807286,0,-58.2831,-0.349,-2.7876,2.058
3MMHA_decoy12_123,3MMHA_decoy12_123.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-12.2284857688309,4.4,18165.34038,167,55.0632318501171,-2248.76448596647,165.5712762006,-1477.61048691105,-936.725275256029,-380.66,-31.59,372.76,-721.85,0,-285.7,3449.24269065348,-893.153474284649,928.861873106999,4.91318448470742,-147.158185245504,566.582045694402,-8.78923858852841,40.834647645506,-32.4277141011276,-59.0221571761217,-7.53671394173721,-1.57744521657362,0,99.2619030159794,0.344097558718297,601.460958407396,294.80839139522,1979.46384789879,0,-97.274,-0.5825,-3.1113,1.8607
3MMHA_decoy5_34,3MMHA_decoy5_34.pdb,,0.131736526946108,0.023952095808383,0.077844311377246,0.065868263473054,0.053892215568862,0.07185628742515,0.029940119760479,0.035928143712575,0.029940119760479,0.101796407185629,0.005988023952096,0.011976047904192,0.035928143712575,0.029940119760479,0.047904191616767,0.065868263473054,0.035928143712575,0.101796407185629,0.023952095808383,0,0.017964071856288,-18.1782091499074,4.4,18165.34038,167,57.5409836065574,-2259.12423545089,228.052830536208,-1571.88507491789,-915.291991069189,-364.26,-31.59,354.15,-686.83,0,-300.3,4013.22884872117,-949.66185655578,1314.08596208231,3.61167531261184,-178.869225819105,589.821854577242,-11.8982561281111,34.4159166502971,-39.1488650156859,-57.019005420544,-6.68284090105216,-7.34697078576719,0,76.6853069007821,-9.0005195216416,642.683205348387,289.995581315327,2239.1802166819,0,-107.6069,-0.6444,-3.1582,1.5055
