design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
1N8VA_decoy17_35,1N8VA_decoy17_35.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-15.032187105429292,7.600000000000006,11948.468779999997,101,53.89008363201911,-1568.4916019082898,86.12191293790706,-883.7987924131226,-770.8147224330811,-365.34,-41.169999999999995,189.29000000000002,-513.46,0,-162.6,1076.460988343192,-596.4638358299821,542.6915769426436,2.555669594916505,-134.7675365904259,470.9128998943794,-11.86721977674013,26.3040439629011,0,-71.08048610619075,-2.508828146825882,-1.079278297386148,0,43.05718614517643,3.971547023474493,230.4088959621363,143.893973102754,427.8732104623608,0,-153.92069999999998,-1.524,-3.9947,0
1N8VA_decoy17_3,1N8VA_decoy17_3.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-10.867601799242426,7.600000000000006,11948.468779999997,101,53.3142174432497,-1491.8040201845945,122.74758549384025,-852.0248856498239,-762.5267200286174,-307.73,-41.169999999999995,189.28999999999996,-455.84,0,-158.9,769.181744550011,-575.1441643720589,465.8330352955259,1.882156921510523,-138.6601939690833,477.950282614213,-14.58757828920126,28.90525840108628,0,-63.88167162914613,-1.623288358233445,-2.081732211494472,0,28.10652490228832,-2.419925401654761,229.7678712616857,115.4416032767331,217.1343961078404,0,-142.20030000000003,-1.4079,-3.9503,0.5288
1N8VA_decoy17_9,1N8VA_decoy17_9.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-13.860578440656566,7.600000000000006,11948.468779999997,101,57.230585424133814,-1590.6549177977445,123.5059906263899,-950.0327558415329,-764.1281525825867,-364.98,-41.169999999999995,188.74,-512.53,0,-170.6,984.5134638591707,-631.8737365151824,550.0346256492146,3.940787037720334,-140.7929388826096,488.4177608279532,-9.783578212613877,34.30641805104114,0,-61.59726413404804,-0.7422649767117232,-6.017227394666417,0,4.387713247480506,2.318779950564467,201.4471043864222,190.0640488660426,357.8440659585638,0,-128.54819999999998,-1.2728,-4.3964,0.1791
1N8VA_decoy34_132,1N8VA_decoy34_132.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-7.013740924873736,7.600000000000006,11948.468779999997,101,57.07287933094385,-1462.3657641060709,172.751518615177,-945.0398985494319,-690.0773841718245,-197.52,-41.169999999999995,219.09999999999997,-375.4300000000001,0,-154,1957.497279592042,-635.150231573659,833.8630187307111,3.368521052567428,-114.0702296838559,512.2457351471262,-12.02219082915455,30.20182629906094,-1.823709933835764,-57.6242637678783,-0.02276523392320334,-0.658180326163942,0,55.82862619143,5.889832889708953,358.5507016884889,59.53308625397497,916.8283326874437,0,-109.50029999999998,-1.0842,-3.136,0.4726
1N8VA_decoy22_114,1N8VA_decoy22_114.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-12.519915956439393,7.600000000000006,11948.468779999997,101,52.74551971326165,-1522.936509166443,126.96281012611851,-860.0882481826525,-789.8110711099049,-376.35,-41.169999999999995,181.63000000000002,-516.7600000000001,0,-155,1196.409571448792,-590.0627148856395,664.5507846485823,2.618708496720647,-139.8747473323831,485.8423162546727,-19.37913327427714,28.53040152403387,0,-70.90626135771456,-1.25006993242607,-2.07322009329808,0,14.11194176406096,-1.531868840348994,231.9126496981688,86.98669992043048,504.37491485821,0,-131.2385,-1.2994,-3.6346,1.1842
1N8VA_decoy1_10,1N8VA_decoy1_10.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-20.22569444444444,7.600000000000006,11948.468779999997,101,53.044205495818396,-1569.9258878799137,87.30753641576591,-859.5898396710904,-797.6435846245884,-435.12,-41.169999999999995,180.76,-574.6799999999998,0,-165.6,129.3680069673528,-559.4497384193985,183.027748779159,2.524429362296089,-134.2718071119746,445.2560979177816,-11.42841057082677,28.44332709715573,-0.9849675211686029,-58.57796300357298,-4.111478656701185,-2.32886447306024,-0.7115897986857068,4.772007789640597,-4.497274458547684,175.3908349593086,42.23039469689754,21.52609037904981,0,-165.15210000000002,-1.6352,-3.8548,0.0094
1N8VA_decoy17_122,1N8VA_decoy17_122.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-12.670217803030303,7.600000000000006,11948.468779999997,101,55.97371565113501,-1540.5925373031782,120.40308471287013,-927.8350942639048,-733.1605277521409,-330.04,-41.169999999999995,195.17000000000002,-484.0200000000001,0,-159.4,1230.786403172878,-617.2286101504674,536.9177616869099,2.512572646880164,-128.610422334466,502.6796694310041,-10.73846645216405,28.4838716194029,-2.309067661881094,-64.2387680259056,0,-5.017126346902154,0,20.77010734677196,3.229140376272042,254.5316715715104,103.2656479181993,603.9792515477138,0,-121.9336,-1.2073,-4.3928,0.5349
1N8VA_decoy19_174,1N8VA_decoy19_174.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-11.547585227272727,7.600000000000006,11948.468779999997,101,53.14695340501792,-1379.9198862936812,142.23170829716045,-856.3271959517762,-665.8243986390611,-208.79,-41.169999999999995,219.24,-386.84,0,-147.6,1265.646800973215,-571.0485728136093,339.5650701896652,1.712903152175697,-103.4578131520048,463.7896859247269,-10.02463322156726,25.42745344240622,-0.7939409834705792,-52.94795333152676,-2.010665520067813,-1.975646917516828,0,51.86823021330085,12.22943267192382,245.5900199551361,248.4077025843102,616.7563587793337,0,-140.4451,-1.3905,-3.9461,0.4691
1N8VA_decoy17_24,1N8VA_decoy17_24.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-10.892104640151516,7.600000000000006,11948.468779999997,101,55.98805256869773,-1519.4242642179936,110.55061066800829,-918.9719057896663,-711.0029690963291,-309.45,-41.169999999999995,201.79,-470.05,0,-165.6,1829.13643884372,-615.1662597098435,755.4328575543983,5.533803919672679,-121.5464541903921,480.6277869083655,-9.945645536504545,33.20057503697817,0,-63.34254957468124,-0.9790632165176769,-3.171512154857157,0,23.1920437308263,4.690116379679224,387.510452941313,145.2700273684731,805.2710893868095,0,-136.8271,-1.3547,-4.0882,0.4132
1N8VA_decoy22_119,1N8VA_decoy22_119.pdb,,0.0594059405940594,0.039603960396039604,0.0594059405940594,0.12871287128712872,0,0.04950495049504951,0.019801980198019802,0.06930693069306931,0.13861386138613863,0.07920792079207921,0.009900990099009901,0.07920792079207921,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.009900990099009901,0.039603960396039604,0.039603960396039604,0.019801980198019802,0,0.0594059405940594,-10.76584201388889,7.600000000000006,11948.468779999997,101,52.72879330943847,-1442.4155081249235,119.62362149836223,-840.3237134017327,-721.7154162215594,-350.18,-41.169999999999995,182.37,-491.35,0,-153.2,1002.44272333993,-573.8469348958482,380.8823159740287,2.15392929938034,-125.4965381833582,485.5484333296955,-14.24153700764537,27.05675888964057,0,-71.21237276664594,0,-3.47433449910539,0,35.36240584609602,-1.922917397493636,281.3177426134116,104.8287020055069,472.9279001322674,0,-131.9556,-1.3065,-3.582,1.424
