design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3CHBD_decoy2_33,3CHBD_decoy2_33.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-23.0500270730198,8.400000000000006,11626.191979999998,103,54.06388206388206,-1326.8732948575532,89.21692675471608,-879.730369687522,-536.3598519247411,-224.91,-32.76,241.45,-433.6099999999999,0,-155,1964.115135389112,-542.4080514866,674.5500526111082,2.081649729722201,-118.297050387768,354.3629776791281,-9.366911726910743,20.61650237866768,-35.87274030406393,-31.49544190452458,-2.016948668871366,-3.941537764126479,37.75957575391727,49.4680323252452,8.131191927932916,334.122903567127,252.8238582169701,940.7739034421581,0,-97.89410000000001,-0.9504,-3.2474,1.9939
3CHBD_decoy2_171,3CHBD_decoy2_171.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-20.188737623762375,8.400000000000006,11626.191979999998,103,52.353808353808354,-1219.6827190243757,95.83978247535289,-843.9475135297728,-471.57498796995134,-170.51,-32.76,256.14,-393.8800000000001,0,-143.1,1436.70523192349,-518.7910438430752,563.5791878019124,4.331472733834134,-105.6040727790688,342.4798883023694,-6.840977890685623,23.22560914871841,-36.81247010229779,-23.58920328354936,-2.464145210003505,-2.170638660950383,0,70.75027649668039,5.913342033234223,236.7079496825087,289.6221909318451,563.5446965620183,0,-94.2116,-0.9147,-3.435,1.7486
3CHBD_native,3CHBD_native.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-22.323348545792072,8.400000000000006,11626.191979999998,103,52.52515337423313,-1352.6262107847301,62.878095199379175,-873.1330706194713,-542.371235364636,-437.96,-32.76,223.45000000000002,-628.65,0,-150.7,-91.50096549176352,-541.0240941707013,49.40276486109929,1.142453191835793,-137.2591625251062,345.5344538313367,-13.99703494141677,22.569844729842,-35.9745493115833,-26.27255184757062,-9.890880402412943,-5.565058674209933,-1.233615376399251,-6.607407315245769,-12.14135392136926,222.5443995999113,22.99791555823759,1.449741221989261,0,-98.93240000000003,-0.9605,-3.829,1.5392
3CHBD_decoy13_46,3CHBD_decoy13_46.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-3.397818688118811,8.400000000000006,11626.191979999998,103,51.17936117936118,-1183.5786649983008,60.719307573307134,-812.1229306150348,-432.17504195657733,-192,-32.76,257.4,-416.6300000000001,0,-128.9,1212.287912705859,-488.3030026434158,287.8996267096307,1.97572886331799,-84.4347027589883,355.1226802670191,-6.979121052982105,21.80934780574683,-29.06002082007831,-26.58612196625626,-1.202661486169975,-3.777352788160071,0,78.5291467376019,10.56015973229441,265.9112043401591,269.0741468217757,528.9256849443645,0,-61.5816,-0.5979,-3.4568,2.0168
3CHBD_decoy1_50,3CHBD_decoy1_50.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-22.54329749381187,8.400000000000006,11626.191979999998,103,53.336609336609335,-1220.2987335143753,124.92165079914113,-871.1432439403662,-474.0771403731491,-197.31,-32.76,250.08,-414.64,0,-151.6,1360.139133374685,-541.3618146277092,690.7660902244669,2.786719435418695,-117.1913269522018,345.1670835652033,-6.154681213205511,26.42232909423206,-35.51561168840189,-26.29442717080198,-5.219785662196124,-5.535879186929559,0,41.41447756846674,-0.1960992088503395,277.4916391058773,288.8400699252995,391.8971801660171,0,-84.5611,-0.821,-3.3296,1.8275
3CHBD_decoy14_16,3CHBD_decoy14_16.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-7.628190748762377,8.400000000000006,11626.191979999998,103,53.1007371007371,-1196.892803328015,107.27082607643953,-846.4936368456258,-457.66999255882246,-168.88,-32.76,237.17000000000002,-373.29,0,-133.4,906.7976358647168,-548.050535794677,560.0943182189438,4.641085513436535,-80.96505512212593,384.8087257073475,-6.135391010599329,23.02149554718478,-23.41331593885339,-31.12366619682826,-2.797643321331868,-0.2119796333896384,0,76.7717413449504,-2.610066855037549,169.9306422454363,274.2519023045536,75.76220885570677,0,-30.515700000000002,-0.2963,-3.4057,2.538
3CHBD_decoy27_35,3CHBD_decoy27_35.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-7.760191058168318,8.400000000000006,11626.191979999998,103,52.417690417690416,-1226.2169986787571,82.21543302790153,-847.2365912551147,-461.1958404515407,-196.43,-32.76,257.83,-421.49999999999994,0,-134.6,1725.328375236968,-526.7870590127264,562.6700282633459,2.461868881579052,-89.77356718541205,356.7816196620685,-12.53967652070575,21.33879227053441,-26.29378411631011,-29.91868109819288,0,-0.9270510681569846,0,95.04762620141074,9.79012432133573,332.6904243425985,265.7734489193708,732.1910913762288,0,-84.03179999999999,-0.8158,-3.6493,2.6781
3CHBD_decoy7_42,3CHBD_decoy7_42.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-12.211565980816829,8.400000000000006,11626.191979999998,103,54.007371007371006,-1237.4760840399936,97.14264336102454,-890.7687103009847,-443.85001710003434,-205.13,-32.76,252.99,-425.37,0,-145.2,1830.387396593675,-549.2219952624558,635.3639519447247,4.442288792987031,-105.2868516501336,359.9330022579295,-6.186701322979816,22.34270911774846,-36.37455962695946,-23.76463450195773,-1.860906868069289,-3.517096460831202,0,75.38635409026179,9.293865309255178,288.2320039884905,308.8456514299969,819.9371453556676,0,-84.68560000000001,-0.8222,-2.9299,1.4061
3CHBD_decoy2_170,3CHBD_decoy2_170.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-12.287302753712872,8.400000000000006,11626.191979999998,103,52.891891891891895,-1160.2414102262103,98.42722789269314,-862.6452391901671,-396.02339892873454,-161.32,-32.76,259.47999999999996,-388.07,0,-143,1788.611376149643,-532.9856462017124,527.8538061568246,1.827236181893237,-92.6174963336676,359.5406537112685,-6.110526372446616,20.17633338627321,-36.62517358992393,-22.2501846917618,-0.4356489314677157,-4.502494798210789,0,78.151724376829,3.641494822307917,348.412667175483,432.9765717326009,678.7348895253538,0,-63.894200000000005,-0.6203,-4.0704,2.6295
3CHBD_decoy28_8,3CHBD_decoy28_8.pdb,,0.10679611650485436,0.019417475728155338,0.038834951456310676,0.06796116504854369,0.02912621359223301,0.02912621359223301,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.05825242718446602,0.02912621359223301,0.06796116504854369,0.02912621359223301,0.04854368932038835,0.038834951456310676,0.04854368932038835,0.0970873786407767,0.038834951456310676,0.009708737864077669,0,0.02912621359223301,-13.378790222772274,8.400000000000006,11626.191979999998,103,54.54545454545455,-1225.7702469277215,99.80388929266877,-883.2584343903812,-442.31570183001014,-209.74,-32.76,260.85,-437.8199999999998,0,-143.5,1340.731596889485,-571.0556680290415,688.0145520167092,5.110518589674588,-95.51637315411621,385.5571061105278,-4.841246365660862,25.32556167996398,-31.28521610616334,-30.0363835279433,-1.104960513161238,-2.600514693162007,0,75.6708681732199,17.4181791246473,264.1366596139245,210.9495211952062,372.1658227748597,0,-75.68069999999999,-0.7348,-3.7117,2.0279
