design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3MMHA_decoy21_39,3MMHA_decoy21_39.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-13.0986850924256,4.400000000000003,18165.34038,167,55.514441842310696,-2127.1972737043375,217.283259639988,-1469.2023730408055,-875.2781603035123,-291,-31.589999999999996,373.62,-633.0400000000001,0,-279.7,3214.216683150848,-912.5337002501496,1530.188150738001,3.499121515178198,-161.8445860848312,583.0175315499249,-12.41591358777426,35.87348512878239,-34.20247922451898,-62.32276395291515,-1.406190199751736,-2.377642668876798,0,96.78394018672134,0.9952644496899385,372.9480428885541,445.0326552658876,1250.605097396926,0,-85.08660000000002,-0.5095,-3.0958,1.6928
3MMHA_decoy5_176,3MMHA_decoy5_176.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-15.446517034888469,4.400000000000003,18165.34038,167,58.18891491022639,-2228.148063748534,248.8835584327954,-1588.47604035296,-888.5555818283785,-309.81,-31.589999999999996,359,-637.2299999999999,0,-287.8,4492.752851656674,-972.9248842101067,1954.7544705386,5.930175873195257,-142.5662491062657,600.1371941969118,-10.7766994410002,35.40956386006228,-40.07490399916459,-56.97138863365165,-2.878419580994021,-6.418735268085101,0,83.15616081163354,1.021660610335936,575.5003317487751,493.6556668169397,1893.422237439489,0,-85.4437,-0.5116,-2.8563,1.5774
3MMHA_decoy1_20,3MMHA_decoy1_20.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-19.218688047737107,4.400000000000003,18165.34038,167,58.05464480874317,-2277.2326158034853,229.92405851353166,-1559.967482570166,-947.1891917468378,-415.21,-31.589999999999996,375.18000000000006,-758.8099999999998,0,-290.4,3446.89613540361,-968.3454939020652,1174.642096476202,5.713109183907914,-181.9765726531331,595.3216414459318,-5.652995977635706,38.82436772631435,-41.5720684899453,-58.83717224319388,-3.671020148170991,-1.177932616033852,0,137.0352064213697,-0.1795859489970559,607.3096571994142,296.7339281695667,1770.352300760078,0,-79.6836,-0.4771,-2.5298,1.6078
3MMHA_decoy13_36,3MMHA_decoy13_36.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-13.294010813967551,4.400000000000003,18165.34038,167,56.978922716627636,-2190.8698864310436,186.41475503591414,-1512.20439668549,-865.0802447814663,-278.34,-31.589999999999996,384.31000000000006,-631.08,0,-277.4,4018.157520171023,-940.3010363117097,1244.029406753416,5.0502069063138,-151.2741959248398,590.6855310346145,-13.45180995108349,37.50588908537647,-32.79033030576502,-60.2821713313507,-1.994817955657774,-7.153127731250426,0,89.36954882470957,0.7401140925180226,655.9053086489528,320.0109067489566,2199.731427587822,0,-73.9282,-0.4427,-2.6484,1.8923
3MMHA_decoy21_98,3MMHA_decoy21_98.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-8.689881060485865,4.400000000000003,18165.34038,167,55.23809523809524,-2203.442397355193,163.29907102959842,-1463.2533622777923,-903.4881061069996,-407.82,-31.589999999999996,372.08000000000004,-748.31,0,-279,3249.025758828831,-878.440816990583,873.3471827933312,5.022498790642619,-150.0210600615005,562.0860009079361,-14.27217937116205,39.3971412879181,-34.39834051006131,-54.7510893043957,-2.464087792981908,-1.395180378352821,0,91.52117730286471,-3.289818861279711,538.4441366652685,382.0541144119568,1813.80940993923,0,-87.4143,-0.5234,-3.2115,2.0213
3MMHA_decoy12_82,3MMHA_decoy12_82.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-16.490738444236502,4.400000000000003,18165.34038,167,57.17408274785324,-2281.3274372374153,211.89990433520046,-1566.300030008328,-926.9273115643007,-421.41,-31.589999999999996,337.57,-727.4100000000001,0,-291.5,3149.311651987359,-955.5187919089592,1507.420948837926,4.285437055662038,-170.0735341365662,579.5606814808807,-6.353429782623833,36.92678672058313,-28.23459954400068,-68.87119698397777,-5.113959797197818,-2.242072192242516,0,65.11541360491552,-0.5444389984375184,479.3368284764776,360.8608906156817,1270.380018539238,0,-76.0884,-0.4556,-3.2571,2.1247
3MMHA_decoy5_178,3MMHA_decoy5_178.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-12.419159896776033,4.400000000000003,18165.34038,167,57.66120218579235,-2173.427352463324,296.3024501749073,-1556.0696124852204,-913.6601901530014,-297.41,-31.589999999999996,358.9,-624.7400000000002,0,-285.5,4213.19760389379,-972.9094409637308,2441.686142595025,3.552658745582604,-143.7717636142463,600.2114272289334,-7.928550917348455,35.06658859485274,-32.08367142787753,-59.40371231989027,-3.886440174500329,-3.298769857625649,0,70.84233491502744,-1.681809342461019,532.4406807980639,485.8501991195462,1186.13506051444,0,-86.2525,-0.5165,-3.0863,2.2123
3MMHA_decoy13_28,3MMHA_decoy13_28.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-13.351159179730335,4.400000000000003,18165.34038,167,55.91256830601093,-2097.12979237031,220.3797389938259,-1495.5447266640942,-821.9648047000414,-282.22,-31.589999999999996,365.75,-616.3800000000001,0,-281.5,2834.864596041999,-914.1497079319166,1414.854629753398,2.703085094545055,-142.3548573785334,575.3152979282954,-8.42486781881734,36.40365544476125,-32.70000987157551,-60.09017987868638,-3.297336843437837,-3.640690249133308,0,85.24918209316716,-5.138321167768765,466.0592997436273,384.1736373714305,957.525109752643,0,-63.42829999999999,-0.3798,-2.5567,1.7231
3MMHA_decoy7_128,3MMHA_decoy7_128.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-12.287821516453539,4.400000000000003,18165.34038,167,57.4192037470726,-2338.133563393615,153.8609667893249,-1548.3908559330691,-943.6036742498666,-470.75,-31.589999999999996,343.43,-782.6100000000001,0,-290.5,3252.430678573478,-945.1856558002227,1037.697367516147,4.925163232331528,-180.2521549987233,602.9747309038246,-16.00471324124067,32.65609333535272,-44.85935060183696,-61.305109855054,-2.586860955307609,-2.802901131320074,0,43.611829340143,-8.406318530647434,591.321299183293,235.3013943845081,1882.969195792231,0,-75.23389999999999,-0.4505,-2.7353,1.3573
3MMHA_decoy1_23,3MMHA_decoy1_23.pdb,,0.1317365269461078,0.023952095808383235,0.07784431137724551,0.0658682634730539,0.05389221556886228,0.0718562874251497,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.10179640718562874,0.005988023952095809,0.011976047904191617,0.03592814371257485,0.029940119760479042,0.04790419161676647,0.0658682634730539,0.03592814371257485,0.10179640718562874,0.023952095808383235,0,0.017964071856287425,-16.7557600463666,4.400000000000003,18165.34038,167,57.578454332552695,-2235.6211189498545,214.60314045916226,-1569.0807077405927,-881.1435516684229,-464.84,-31.589999999999996,343.56999999999994,-776.8400000000003,0,-294.8,3924.036814148737,-959.8867478809005,1464.963664587464,4.401445589416105,-175.9715827831359,562.7954927561093,-9.69542519525431,35.1724051907357,-39.1716263373748,-58.25877319768352,-2.628247004717649,-1.863412403662891,0,39.66584076313184,-14.9647452423203,610.2100443743803,384.3609106508905,2002.530900281658,0,-88.38980000000001,-0.5293,-2.7959,1.9943
