design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3NJNA_decoy20_60,3NJNA_decoy20_60.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-12.080481663223138,3.7000000000000024,12108.671279999999,114,53.63380281690141,-1169.4390573303685,130.84829150587976,-958.3125625308506,-341.9747863053963,-44.75,-20.6,295.72999999999996,-319.85,0,-161.3,2024.965887188868,-566.7182643484235,921.6190633046162,2.92514136605683,-72.12312545302211,319.5757866705515,-4.345764940632758,18.25195464939328,-47.39833557010378,-3.447778585113034,-3.423771085510107,-2.168007653900358,0,99.4736769904335,-3.743108210528304,278.0127997593041,446.5912391346397,579.7047411611065,0,-14.761800000000006,-0.1295,-3.0343,2.7362
3NJNA_decoy53_23,3NJNA_decoy53_23.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-9.47766012396694,3.7000000000000024,12108.671279999999,114,52.62676056338028,-1226.301156795398,103.02166783988959,-933.5354787485002,-395.7873458867854,-41.06,-20.6,316.83,-337.27000000000004,0,-146.5,2215.455601703424,-550.5383764898804,815.485483320859,2.381474916588013,-74.4786509658661,337.3772166946833,-2.152350233852993,18.54194084088395,-47.28256528573814,-10.18770464981166,-1.854196075541629,-2.143541552610039,0,157.5041136649768,20.3380380293953,315.2039890279209,291.7728122673234,883.3082781940941,0,-2.2232000000000003,-0.0195,-2.9702,3.2573
3NJNA_decoy38_122,3NJNA_decoy38_122.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-0.5292668978748517,3.7000000000000024,12108.671279999999,114,49.929577464788736,-1134.671448098348,128.17898167591684,-865.9828121595283,-396.86761761473565,-66.05,-20.6,312.90000000000003,-358.36999999999995,0,-143,1707.267864081399,-507.7855433351166,550.3462779384853,4.09525832175922,-90.87610143910774,310.5867902870351,-0.918261272512589,20.82822970109773,-48.27616837816851,-10.77638038637923,0,-1.843372606552358,0,126.7242583679048,11.81119840305707,276.0202182124023,432.7033420438113,572.4484782236835,0,8.245100000000003,0.0723,-2.6078,2.5635
3NJNA_decoy41_59,3NJNA_decoy41_59.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-3.0195543093270363,3.7000000000000024,12108.671279999999,114,51.4037558685446,-1181.2483242547569,80.57807785544813,-894.869955780698,-366.95644632951127,-117.8,-20.6,294.19,-391.39000000000004,0,-140.3,2855.590890652165,-533.5269142015077,563.9809905754471,2.968736823985501,-72.82885292648201,335.8363236386461,-4.48198889862821,18.02890582022076,-38.2746189895785,-13.82470880110256,-5.05778857306179,-1.008082412982628,0,117.2658879806232,9.109827308011468,354.6522353993926,646.0401496626192,1414.531148246562,0,24.964900000000004,0.219,-2.3233,3.7467
3NJNA_decoy37_145,3NJNA_decoy37_145.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-7.189935064935065,3.7000000000000024,12108.671279999999,114,51.075117370892016,-1154.8395822003204,123.28518315198359,-909.4954206239357,-368.6293447283659,-48.79,-20.6,309.6700000000001,-337.86000000000007,0,-141.3,3431.810294637594,-530.6062359688615,1038.173235938275,4.531797752066619,-103.7977521797467,305.359316836298,-0.9113118117169399,19.43780553413086,-48.95594584640689,-5.017747092092985,-2.833644116913547,-2.592516648476395,0,100.8872756985856,3.881788226927819,462.4079038892343,506.8288034254422,1622.837881000849,0,-14.740499999999999,-0.1293,-2.2959,2.4164
3NJNA_decoy13_89,3NJNA_decoy13_89.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-7.818993506493507,3.7000000000000024,12108.671279999999,114,54.26056338028169,-1208.4953248038182,108.14941324108757,-982.8649110223032,-333.77982702259453,2.31,-20.6,331.66,-308.75,0,-159.1,3485.171461562194,-569.0238400204067,1106.103671870824,3.86521415818996,-85.34770421493366,334.2182962448293,1.844991663176049,19.41914209706392,-54.58980652243456,-4.925668021619049,-0.8372894802305991,-1.289276917701082,0,120.2547675496998,11.39554512408377,436.9866707889607,404.0190956901588,1700.898011552533,0,-6.5657999999999985,-0.0576,-2.1953,2.6401
3NJNA_decoy2_61,3NJNA_decoy2_61.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-5.62403612012987,3.7000000000000024,12108.671279999999,114,52.89201877934272,-1145.2611875472567,118.60665443885115,-933.5167752553164,-330.35106673078906,-121.74,-20.6,312.12,-413.24999999999994,0,-158.6,2186.394151615586,-541.7026752289567,731.4293075922999,3.868173456110055,-87.19025807570426,322.1590215694146,-3.226874502173522,19.92106627396116,-58.25519294180798,-2.496945218779892,-2.688685301687356,-2.410087100551384,0,119.3744546887734,7.971787964218078,361.011717438163,511.7667222992927,744.6829787030141,0,-3.396100000000002,-0.0298,-3.0778,2.6394
3NJNA_decoy23_85,3NJNA_decoy23_85.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-8.189206390200706,3.7000000000000024,12108.671279999999,114,50.97417840375587,-1195.6429506816141,88.48123722894448,-917.2801231943727,-366.8440647161891,-108.55,-20.6,302.89,-390.8499999999999,0,-155.2,2765.198030288901,-524.6023745209277,604.8228020226647,5.242851251431728,-92.4337547840105,288.0105534684624,-0.7981415347552347,21.94542872646579,-51.81162771370013,-9.73697301121441,-1.216517133845792,-0.5480079286020723,0,84.67795755538489,1.914739544694403,484.9053381794428,460.2598971361753,1432.386219031235,0,-41.35099999999999,-0.3627,-3.1763,1.9265
3NJNA_decoy13_166,3NJNA_decoy13_166.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,-15.399018595041323,3.7000000000000024,12108.671279999999,114,52.03051643192488,-1216.530326333239,99.77341876348079,-933.8673773605817,-382.43636773612843,8.51,-20.6,311.32,-282.22999999999996,0,-154.5,2037.311903479739,-537.553309311931,1025.184216069878,4.260226813292305,-90.84082419084382,308.9659579357319,-1.576110843169952,20.08536391780893,-46.74431528416842,-6.385574674326971,-0.6177330579938639,0,0,103.6368945877997,7.197158291135621,256.3686155255602,485.3982294643528,447.7534682366135,0,-30.497899999999998,-0.2675,-2.2693,2.1915
3NJNA_decoy48_64,3NJNA_decoy48_64.pdb,,0.05263157894736842,0.008771929824561403,0.07894736842105263,0.017543859649122806,0.06140350877192982,0.09649122807017543,0,0.06140350877192982,0.043859649122807015,0.11403508771929824,0.008771929824561403,0.05263157894736842,0.043859649122807015,0.07017543859649122,0,0.03508771929824561,0.12280701754385964,0.11403508771929824,0,0,0.017543859649122806,1.5669827331759152,3.7000000000000024,12108.671279999999,114,53.07746478873239,-1234.448155977066,93.77437687783298,-962.8638469005956,-365.3586859542962,-67.7,-20.6,319.01,-366.08000000000004,0,-153.4,3366.01855282402,-557.4093867249801,1024.943450482255,5.93973525901073,-54.09868147113897,307.1075652664157,-5.530591736605527,21.39619945031435,-36.65632128875478,-14.0328522994358,-0.2284675210817589,-3.533411496579549,0,123.1200600616294,4.684668640805423,549.4833748786551,401.017097591018,1537.636473732494,0,-33.087900000000005,-0.2902,-2.7648,2.0927
