design name,file name,tags,composition: ALA,composition: CYS,composition: ASP,composition: GLU,composition: PHE,composition: GLY,composition: HIS,composition: ILE,composition: LYS,composition: LEU,composition: MET,composition: ASN,composition: PRO,composition: GLN,composition: ARG,composition: SER,composition: THR,composition: VAL,composition: TRP,composition: UNK,composition: TYR,hydrophobic fitness,isoelectric point (pH),mass (da),number of residues,packing density,budeff: total,budeff: steric,budeff: desolvation,budeff: charge,evoef2: total,evoef2: ref total,evoef2: intraR total,evoef2: interS total,evoef2 - interD total,dfire2 - total,rosetta - total,rosetta - fa_atr,rosetta - fa_rep,rosetta - fa_intra_rep,rosetta - fa_elec,rosetta - fa_sol,rosetta - lk_ball_wtd,rosetta - fa_intra_sol_xover4,rosetta - hbond_lr_bb,rosetta - hbond_sr_bb,rosetta - hbond_bb_sc,rosetta - hbond_sc,rosetta - dslf_fa13,rosetta - rama_prepro,rosetta - p_aa_pp,rosetta - fa_dun,rosetta - omega,rosetta - pro_close,rosetta - yhh_planarity,aggrescan3d: total_value,aggrescan3d: avg_value,aggrescan3d: min_value,aggrescan3d: max_value
3WDCA_decoy9_119,3WDCA_decoy9_119.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-1.6980351131972897,6.200000000000005,16223.49988,147,54.59019264448336,-2096.7553498893863,161.10446056962195,-1274.115602312576,-983.7442081464371,-375.43,-37.43,298,-636.0100000000001,0,-232.9,1294.779809876768,-830.5296586831621,1136.175532071157,4.150041896314813,-167.9253013833552,594.9666021343945,-8.278938152469113,37.79811538458942,0,-86.50879426040494,-1.515681502170968,-6.567500938331721,0,51.61903841967968,-3.318411137516106,265.2162212510505,218.4640635061449,35.26652127084648,0,-52.5136,-0.3572,-3.207,2.2249
3WDCA_decoy9_134,3WDCA_decoy9_134.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-6.298291223651357,6.200000000000005,16223.49988,147,54.93520140105079,-2089.7786053211044,167.35474381308669,-1291.3379703681067,-965.7953787660875,-393.21,-37.43,284.95,-640.7299999999999,0,-242.2,1430.970143965326,-832.6323429069433,935.9502366407627,3.303964084341566,-147.7974889616677,593.4686947713675,-10.78783985655875,34.30897898621906,0,-86.5958414751743,-2.469268471695705,-8.093888191805988,0,39.35046186522465,-7.047866923778991,334.9865054376576,207.1572646648133,322.1006143025643,0,-68.33529999999999,-0.4649,-2.9474,1.3712
3WDCA_decoy19_111,3WDCA_decoy19_111.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-6.541859933646708,6.200000000000005,16223.49988,147,53.79159369527145,-2063.0862591630457,154.67405275537675,-1231.9240908123154,-985.8362211061037,-451.61,-37.43,285.77,-699.9399999999999,0,-229.8,1011.324412329865,-813.7263691401378,773.2940728319574,4.707355792388702,-158.6566974691621,611.7307688228606,-17.92460429551415,36.16268002054041,-1.073511411981072,-91.76587886470274,-0.4955189540798803,-2.110810980138737,0,77.82893954583038,3.056390837288713,238.7984046758662,209.9918466402916,85.7393842785578,0,-36.6942,-0.2496,-3.0778,2.052
3WDCA_decoy12_10,3WDCA_decoy12_10.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-7.053652802677406,6.200000000000005,16223.49988,147,54.49562171628722,-2261.4328353818496,143.01801012071968,-1283.9419711009166,-1120.5088744016691,-437.29,-37.43,286.18,-686.02,0,-233.4,1761.456588514649,-842.8862054745372,909.3226373956184,3.56487799161061,-197.6269076889736,615.2512477288742,-12.19926712592594,32.17551314849347,-3.617808720511589,-97.43701804808208,-0.894254229664384,-5.640872680646044,0,56.43152639423127,2.530900640792784,299.4604618866898,211.930337425275,735.323459871404,0,-76.12290000000002,-0.5178,-3.5101,2.2517
3WDCA_decoy1_76,3WDCA_decoy1_76.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-29.812611094005316,6.200000000000005,16223.49988,147,59.120840630472856,-2376.8885867864105,138.26957042245724,-1460.6079670755191,-1054.5501901333269,-672.35,-37.43,241.06,-875.9699999999999,0,-279.4,915.9408989817939,-957.9897176482579,1080.50761895206,2.137078919729031,-181.8156321820846,589.2919790592697,-12.38708797270004,36.38421143354546,-5.565389173651353,-86.09194109051045,-8.28914023521252,-5.006199714626058,0,-16.17974535842544,-24.19761820372893,220.665198847705,148.4734523794676,80.2358709692142,0,-107.1037,-0.7286,-2.9823,1.2215
3WDCA_decoy3_57,3WDCA_decoy3_57.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-21.41929199500963,6.200000000000005,16223.49988,147,56.8353765323993,-2189.0935348399616,107.6883185695608,-1365.2053422157776,-931.5765111937415,-621.08,-37.43,257.02,-840.67,0,-261.8,591.4049993173053,-895.258951912506,621.7096698739022,3.200202666537566,-168.7084535397416,582.9370613026028,-15.33651892442704,35.70687151070297,-2.154133162611194,-85.6206737715643,-6.616275562947028,-7.210526286330663,0,16.40664754698457,-15.44347765054779,223.5956338877654,216.6768118483774,31.75315149110794,0,-98.8826,-0.6727,-2.8318,1.3642
3WDCA_decoy3_124,3WDCA_decoy3_124.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-9.286542934319527,6.200000000000005,16223.49988,147,54.85464098073555,-2022.9471894224896,169.4522230506465,-1283.8320958709141,-908.5673166022216,-350.92,-37.43,299.33,-612.8199999999999,0,-237.6,1686.187882180456,-842.3540306154413,932.6458164441473,3.526510757774614,-142.8754430491096,584.8875137363452,-17.27388600013803,32.12982018243845,-2.788097015112612,-85.22979944099207,-4.2392467897454,-1.28746807317532,0,26.70499088979451,-3.792319907151319,415.7732009136928,204.3333980374462,530.2589621096822,0,-90.8865,-0.6183,-2.9318,1.6474
3WDCA_decoy9_108,3WDCA_decoy9_108.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-6.260962763423394,6.200000000000005,16223.49988,147,56.24868651488617,-2120.5136025213246,144.47534780738624,-1314.2843505875885,-950.7045997411304,-441.18,-37.43,275.34,-679.0900000000003,0,-239.9,2155.472873677596,-864.6685777210844,999.3151363642985,3.466453754876255,-169.2097855750977,592.8462069321768,-18.10275266822016,36.64586644921825,-2.551575088880883,-83.71926112553349,-3.580113960758312,-2.82443333465182,0,56.40073582161753,-2.113444756733481,395.225991067155,273.7348316718006,888.839635847414,0,-53.7665,-0.3658,-3.0934,2.1792
3WDCA_decoy25_5,3WDCA_decoy25_5.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-5.8554852956780925,6.200000000000005,16223.49988,147,54.3800350262697,-2150.5929650576445,184.6012214398456,-1266.4036998489614,-1068.7904866485158,-271.74,-37.43,299.4,-533.72,0,-220.9,1919.035433986748,-835.809277240571,1049.895524702573,3.126679178363302,-167.8654007666413,599.6280700681544,-14.34879852778139,32.11330520519114,0,-83.3008775880251,-0.8573140438049568,-2.171768588734011,0,70.76167692695111,-0.5042617996078391,347.5270089172367,224.8290493307235,640.2438582127202,0,-53.4731,-0.3638,-2.9853,2.4603
3WDCA_decoy2_38,3WDCA_decoy2_38.pdb,,0.07482993197278912,0,0.006802721088435374,0.11564625850340136,0.02040816326530612,0.10884353741496598,0.04081632653061224,0.07482993197278912,0.027210884353741496,0.14965986394557823,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.07482993197278912,0.047619047619047616,0.034013605442176874,0.08163265306122448,0,0,0.02040816326530612,-19.308982178714654,6.200000000000005,16223.49988,147,56.719789842381786,-2316.7168069673594,114.28286411417292,-1392.838087143857,-1038.1615839376634,-538.5,-37.43,265.01,-766.0499999999998,0,-262.1,1660.44788996906,-892.4602908017972,1056.959813525302,3.277404211136592,-191.0873562887369,569.4826650232833,-19.07008060058684,34.15012742806989,-9.079002831470033,-90.88249759450913,-5.416604439092699,-2.807199755658381,0,29.7692841668239,-14.49561549040775,317.1457386127892,107.2181932219928,711.9753515819219,0,-100.0872,-0.6809,-2.8085,1.9948
